,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SH,SZ,SO,SG,TG,TI,UR,VD,VS,ZG,ZH
FDP,2,0,0,1,0,2,1,2,0,1,0,1,1,0,0,0,1,1,2,1,2,0,4,2,0,4
CVP,1,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,0,1,0,0,2,1,1
SP,2,0,0,2,2,3,2,2,0,1,1,1,1,0,0,1,1,1,2,1,2,0,4,1,0,5
SVP,5,1,0,2,1,7,1,2,0,1,0,3,1,1,1,1,2,1,4,2,1,1,3,2,1,9
EVP,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
PdA/Sol.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPS,2,0,0,1,1,3,1,3,0,0,1,1,1,0,0,0,0,1,1,1,1,0,4,1,1,5
EDU,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GLP,2,0,0,1,1,3,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,6
BDP,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
