,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SH,SZ,SO,SG,TG,TI,UR,VD,VS,ZG,ZH
FDP,2,0,0,1,0,2,1,2,0,1,0,2,1,0,0,0,1,1,2,1,2,0,4,1,0,5
CVP,1,0,1,1,0,0,1,1,0,1,1,2,0,0,1,0,1,1,2,1,2,1,0,3,1,1
SP,2,0,0,2,2,4,1,2,0,1,1,1,1,0,0,1,1,1,2,1,1,0,4,1,0,5
SVP,5,1,0,2,1,7,2,2,0,1,0,2,1,1,0,1,1,2,4,2,1,0,3,2,1,9
LPS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVP,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CSP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PdA/Sol.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPS,1,0,0,1,1,3,1,3,0,0,0,1,1,0,0,0,0,1,1,1,1,0,4,1,1,4
EDU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GLP,2,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,5
BDP,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Others,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
